epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9496,2.039,4.30675,1.71527,0.0222,0.57552,0.05365,0.01944,1.6188,4.49413,1.51983,9.408e-05,9.408e-05,9.408e-05
2,42.7604,1.35094,3.89636,1.26267,0.01759,0.9021,0.18456,0.11717,1.10888,4.23169,1.12815,0.000190198,0.000190198,0.000190198
3,64.3594,1.16228,3.51557,1.17771,0.01381,0.98531,0.22729,0.178,0.8274,3.75305,0.91405,0.000282358,0.000282358,0.000282358
4,84.8098,1.0546,3.16046,1.10386,0.01397,0.98531,0.19572,0.15424,0.80535,3.36999,0.9225,0.000370559,0.000370559,0.000370559
5,103.833,0.99977,2.89652,1.09993,0.54012,0.17932,0.33636,0.26916,0.84671,3.1848,0.94489,0.000454802,0.000454802,0.000454802
6,122.768,1.00526,2.69775,1.09435,0.45243,0.20856,0.35484,0.28176,0.82721,3.04434,0.93629,0.000529788,0.000529788,0.000529788
7,141.788,0.90853,2.50316,1.07224,0.36807,0.71941,0.55229,0.43545,0.83357,2.53331,0.93495,0.000518146,0.000518146,0.000518146
8,160.781,0.9404,2.31823,1.0871,0.65229,0.6461,0.72559,0.58573,0.84294,2.20041,0.93272,0.000506503,0.000506503,0.000506503
9,181.776,0.95775,2.25698,1.08707,0.51886,0.79935,0.72898,0.59927,0.72812,1.96395,0.9215,0.000494861,0.000494861,0.000494861
10,206.399,0.93163,2.18038,1.07704,0.78882,0.68416,0.84908,0.70513,0.68956,1.79526,0.93112,0.000483218,0.000483218,0.000483218
11,229.624,0.91109,2.04093,1.06945,0.7903,0.87155,0.9184,0.78682,0.64515,1.74232,0.89813,0.000471576,0.000471576,0.000471576
12,250.451,0.89003,1.92791,1.04538,0.77935,0.84312,0.90298,0.7595,0.63883,1.90445,0.90032,0.000459934,0.000459934,0.000459934
13,274.379,0.85235,1.83653,1.01427,0.85557,0.84014,0.95146,0.80778,0.67995,1.5942,0.89405,0.000448291,0.000448291,0.000448291
14,298.629,0.84712,1.74437,1.00803,0.86899,0.92656,0.97478,0.84092,0.68113,1.3858,0.88704,0.000436649,0.000436649,0.000436649
15,321.869,0.87595,1.73664,1.07366,0.86406,0.92536,0.97418,0.83865,0.67375,1.32908,0.907,0.000425006,0.000425006,0.000425006
16,345.75,0.77346,1.55463,1.00645,0.9068,0.88898,0.96284,0.84016,0.6324,1.33209,0.8921,0.000413364,0.000413364,0.000413364
17,364.636,0.82671,1.59705,1.01031,0.88432,0.8996,0.97425,0.83523,0.64795,1.29775,0.89108,0.000401722,0.000401722,0.000401722
18,383.482,0.71777,1.49344,0.9725,0.92777,0.96039,0.98517,0.84899,0.62903,1.23156,0.8877,0.000390079,0.000390079,0.000390079
19,402.648,0.75146,1.51944,1.00228,0.96281,0.96349,0.98021,0.85919,0.59621,1.13468,0.88133,0.000378437,0.000378437,0.000378437
20,421.503,0.75139,1.40959,0.98057,0.91617,0.95566,0.98397,0.86588,0.59913,1.14924,0.88052,0.000366794,0.000366794,0.000366794
21,440.302,0.77713,1.44091,1.00738,0.95416,0.97806,0.98931,0.87664,0.57513,1.07411,0.86932,0.000355152,0.000355152,0.000355152
22,459.223,0.78156,1.36295,0.99947,0.97524,0.97568,0.98935,0.87579,0.57672,1.04428,0.87354,0.00034351,0.00034351,0.00034351
23,478.322,0.72246,1.32496,1.00099,0.95613,0.97465,0.98848,0.87985,0.5332,0.99359,0.85845,0.000331867,0.000331867,0.000331867
24,497.209,0.73467,1.29522,1.02237,0.98571,0.94197,0.98744,0.88194,0.52566,0.9667,0.85652,0.000320225,0.000320225,0.000320225
25,516.045,0.65216,1.21785,0.95789,0.96737,0.95926,0.98867,0.8852,0.52061,0.97629,0.85932,0.000308582,0.000308582,0.000308582
26,536.903,0.6921,1.26023,0.98803,0.96125,0.97133,0.98757,0.88579,0.51253,0.99063,0.85857,0.00029694,0.00029694,0.00029694
27,962.581,0.67855,1.16918,0.94998,0.96592,0.97584,0.99038,0.88775,0.53365,0.95295,0.86427,0.000285298,0.000285298,0.000285298
28,981.551,0.68493,1.13304,0.9602,0.95979,0.96161,0.9897,0.89691,0.49639,0.94918,0.8519,0.000273655,0.000273655,0.000273655
29,1000.19,0.66677,1.17272,0.97243,0.95906,0.97256,0.98954,0.89594,0.47936,0.92001,0.84796,0.000262013,0.000262013,0.000262013
30,1019.78,0.69256,1.18965,0.97827,0.97151,0.97963,0.98944,0.89999,0.45092,0.87342,0.84067,0.00025037,0.00025037,0.00025037
31,1038.89,0.68973,1.15595,0.97236,0.97964,0.97466,0.98944,0.90338,0.44359,0.83855,0.83898,0.000238728,0.000238728,0.000238728
32,1058.1,0.66562,1.1608,0.96256,0.98481,0.96973,0.98889,0.90783,0.46094,0.85788,0.84472,0.000227086,0.000227086,0.000227086
33,1077.71,0.63755,1.10428,0.94484,0.97907,0.98018,0.98868,0.91211,0.44806,0.8394,0.84173,0.000215443,0.000215443,0.000215443
34,1096.94,0.60703,1.08891,0.92948,0.97906,0.99155,0.98886,0.92176,0.43222,0.83268,0.83506,0.000203801,0.000203801,0.000203801
35,1115.77,0.62251,1.05475,0.95191,0.9682,0.99301,0.98905,0.91955,0.4192,0.83464,0.82822,0.000192158,0.000192158,0.000192158
36,1134.59,0.671,1.09277,0.99029,0.97426,0.98589,0.98898,0.91986,0.42311,0.82194,0.83201,0.000180516,0.000180516,0.000180516
37,1153.87,0.63355,1.06718,0.95765,0.98759,0.98145,0.98915,0.92528,0.40686,0.79446,0.8284,0.000168874,0.000168874,0.000168874
38,1497.08,0.5696,1.07116,0.92028,0.98216,0.98855,0.98933,0.92727,0.4017,0.78932,0.82718,0.000157231,0.000157231,0.000157231
39,1515.63,0.61527,0.99449,0.94916,0.97939,0.99122,0.98935,0.92502,0.40775,0.78983,0.8281,0.000145589,0.000145589,0.000145589
40,1536.66,0.59704,1.02327,0.9606,0.97889,0.98227,0.9897,0.92742,0.4013,0.78839,0.82718,0.000133946,0.000133946,0.000133946
41,1555.56,0.44927,0.94068,0.85144,0.97944,0.97708,0.98977,0.93465,0.39166,0.77863,0.82574,0.000122304,0.000122304,0.000122304
42,1574.56,0.42448,0.94188,0.84413,0.96635,0.97824,0.98933,0.93094,0.40194,0.78902,0.82636,0.000110662,0.000110662,0.000110662
43,1595.57,0.42319,0.93745,0.84616,0.97393,0.97664,0.98878,0.93592,0.39013,0.77906,0.82274,9.90192e-05,9.90192e-05,9.90192e-05
44,1616.22,0.44159,0.91541,0.84247,0.98233,0.98205,0.98873,0.93734,0.36985,0.7402,0.8175,8.73768e-05,8.73768e-05,8.73768e-05
45,1635.77,0.43627,0.90651,0.85808,0.98574,0.9816,0.98893,0.93756,0.36233,0.7184,0.81674,7.57344e-05,7.57344e-05,7.57344e-05
